Angle,Trace
0,3
0.1904,2.96386
0.380799,2.85674
0.571199,2.68251
0.761598,2.44747
0.951998,2.16011
1.1424,1.83083
1.3328,1.47152
1.5232,1.09516
1.7136,0.71537
1.904,0.345864
2.0944,6.66134e-16
2.28479,-0.309721
2.47519,-0.572106
2.66559,-0.777671
2.85599,-0.918986
3.04639,-0.990944
3.23679,-0.990944
3.42719,-0.918986
3.61759,-0.777671
3.80799,-0.572106
3.99839,-0.309721
4.18879,-5.55112e-16
4.37919,0.345864
4.56959,0.71537
4.75999,1.09516
4.95039,1.47152
5.14079,1.83083
5.33119,2.16011
5.52159,2.44747
5.71199,2.68251
5.90239,2.85674
6.09279,2.96386
6.28319,3
6.47358,2.96386
6.66398,2.85674
6.85438,2.68251
7.04478,2.44747
7.23518,2.16011
7.42558,1.83083
7.61598,1.47152
7.80638,1.09516
7.99678,0.71537
8.18718,0.345864
8.37758,1.66533e-15
8.56798,-0.309721
8.75838,-0.572106
8.94878,-0.777671
9.13918,-0.918986
9.32958,-0.990944
9.51998,-0.990944
9.71038,-0.918986
9.90078,-0.777671
10.0912,-0.572106
10.2816,-0.309721
10.472,-2.498e-15
10.6624,0.345864
10.8528,0.71537
11.0432,1.09516
11.2336,1.47152
11.424,1.83083
11.6144,2.16011
11.8048,2.44747
11.9952,2.68251
12.1856,2.85674
12.376,2.96386
12.5664,3
12.7568,2.96386
12.9472,2.85674
13.1376,2.68251
13.328,2.44747
13.5184,2.16011
13.7088,1.83083
13.8992,1.47152
14.0896,1.09516
14.28,0.71537
14.4704,0.345864
14.6608,2.33147e-15
14.8512,-0.309721
15.0416,-0.572106
15.232,-0.777671
15.4224,-0.918986
15.6128,-0.990944
15.8032,-0.990944
15.9936,-0.918986
16.184,-0.777671
16.3744,-0.572106
16.5648,-0.309721
16.7552,-2.83107e-15
16.9456,0.345864
17.136,0.71537
17.3264,1.09516
17.5168,1.47152
17.7072,1.83083
17.8976,2.16011
18.088,2.44747
18.2784,2.68251
18.4688,2.85674
18.6592,2.96386
18.8496,3
